
Исходный список:
SwCdaoCkWLcZHvn 4000022593
ZwPEpBmxNwwjldK 3000008233
gocgxOeLLZQlGUg 3000026641
vopPNbOYBKcmjLC 3000012280
CgDrVoGmznwwNCY 1000030688
RgQalJqAxQQxiku 1000016328
YXdCtWaNnBkzLbQ 9000001968
nPqlIjSjmeEIpSn 9000020376
uPENQwCxkPYKKJJ 8000006016
JHRogJmKatsMnzf 8000024423
QHeYoWeYYWMVRiB 7000010063
fyrzEjOlOHYXuZX 7000028471
lyEjMwxzNkrYQPt 6000014111
AqSKcJpNLVLatGQ 6000032519
HifujWZaByfjWxm 6000018158
OisVzjJwzbzlsgI 5000003798
dZFxHwBJxMTnVWW 4000022206
kZSgXJlXnpnwyNs 3000007846
zRgIfWdlmazyUEO 3000026254
GRtrvjNycETzxvl 2000011893
VJGTCwxMahnJadH 2000030301
cITuSJpaYSHKwUd 1000015941
rAheaWZnOvbMZLz 1000001581
ysuFijJJMgvVCBV 9000019989
MsHpywBWLJPXYkr 9000005628
TkUQGJlkBmjZBbO 8000024036
akZAWWVyzXvaeSk 8000009676
pbnbdjNLpAPkIIG 8000028084
wbACtwxZnmjldzc 6000013724
LTNmBJpmmPDnGiy 6000032132
SLaNRWZAcsXwkZV 5000017771
hLnxZjJWadryFPr 5000003411
oCBYpwBjYGLAiGN 4000021819
DCOIwKlxOrfJMxj 4000007459
KubjMfVLMUrLhfF 3000025867
ZuoLUsNYDxLMKWb 3000011506
gmBukFxmBifWoNy 2000029914
ulPWsShzzMzXJEU 2000015554
BdcFIfZVpxTZnmq 2000001194
IVphQsJjnanjQdM 1000019602
XVCIfFBwlDHklUi 1000005241
eNQsnSlKcobmPLE 8000023649
tMdTDfVXaRnnsBb 8000009289
AEqDLsNlQCHxVkx 7000027697
PEDebFxzOfbyrbT 7000013337
WwQOjShMMIvAURp 6000031744
loepqfZiDtPJxIL 6000017384
sorRGsJwBXjLTzh 5000003024
HfEAOFtJzADNwiE 5000021432
NfRceSkXplPWZYa 4000007072
UXeLmfUknOjYvPw 4000025480
jXsnCsMydzDZYGS 4000011119
qPFWKFwMccXjBxo 3000029527
FOSyZSgZaFrkXfK 2000015167
MGfZhfYvQqLmAWh 1000000807
bysJxsIIOTfodND 1000019215
iyGkFFsWMFzxzDZ 9000004854
xqTUVSkkCiLzcmv 9000023262
EpgvdfUxBLfAFdR 8000008902
ThtfssELrwzKjUn 8000027310
ahHGAFwZpZTLEKK 7000012950
pZUiQSgmnKnNhBg 7000031357
vZhRYfYIdnHWLkC 7000016997
CQutoAIVcQbYgbY 6000002637
RIHcwNsjaBuaKRu 6000021045
YIVEMbkxQfGjnIR 4000006685
nAifToUKOQalIzn 4000025092
uAvPbBEYEtummhB 3000010732
JsIqrOwlCWOoPYX 3000029140
QrVazbgzBHixkPt 2000014780
fjjBPoQVrkCzOGP 2000000420
mbwlXBIipVWBrwm 1000018828
BbJMmOswnyqKMfI 1000004467
ITWoubkKdbCMqWe 9000022875
OSkXKoUXbNWNTNA 9000008515
dKxySBElSqqXoDW 9000026923
kKKiiOwyQbKYSms 8000012563
zCXJqbgUOEeavdP 8000030970
GCktGoQiEhykYUl 6000016610
VtyUNBIvCSSluKH 6000002250
clLwdOsJBvenXBd 5000020658
rlYflbcWrgyoAkz 5000006298
ydlHBoUkpJSyWaV 4000024705
NdyqJBEyfmmzzRs 4000010345
UUMSZOoLdYGBcIO 3000028753
jUZtgbghbBaKyzk 3000014393
pMmdwoPvSmuMbhG 3000000033
wEzEEBHIQPOOEYc 2000018440
LEMoUOrWOsaXaPy 2000004080
SwaPcbbjEduZDGV 1000022488
hvnzkoTxCGOahwr 9000008128
onAaABDLsrikCfN 8000026536
DnNCHWnYrUClfWj 8000012176
KfblXjfupyWnJMF 7000030583
ZfoNfwPHfjqpmDb 7000016223
gWBwvJzVdMKyHmy 6000001863
vOOYDWrjbpWAldU 6000020271
CObHTkbwSaqBOTq 5000005911
JGpjbxTKQDKLjKM 5000024318
XGCKqKDYGoeMNBi 5000009958
exPuyXnlERyOqkF 4000028366
txcVOkfHCuSYLab 4000014006
AppFWxPUsgmZpRx 2000032414
PhDgmKzirJGbSIT 2000018053
WhQIuXrwpuSknyp 1000003693
